p_id,title,rate,tags,address,url
77,촌당 3호점,4.6,갈비,울산 남구 대학로43번길 9 (우)44616,https://place.map.kakao.com/18440582
78,바이트미피자,3.5,피자,울산 동구 해수욕장10길 34 3층 301호 (우)44057,https://place.map.kakao.com/1699774679
79,소선비,4.8,"육류,고기",울산 남구 신정로20번길 3-9 1층 (우)44725,https://place.map.kakao.com/787772134
80,첫번째공간,4.8,양식,울산 중구 성안1길 109 3층 (우)44418,https://place.map.kakao.com/1444498658
81,대밭골돼지국밥 2호점,3.3,국밥,울산 남구 돋질로302번길 9 (우)44705,https://place.map.kakao.com/25973786
82,몰타르,4.1,커피전문점,울산 중구 태화강국가정원길 199 (우)44456,https://place.map.kakao.com/954180157
83,황족,3.0,"족발,보쌈",울산 남구 삼산로122번길 13 (우)44722,https://place.map.kakao.com/12746204
84,착한물고기생선구이 울산태화점,4.3,"해물,생선",울산 중구 태화강국가정원길 113 (우)44438,https://place.map.kakao.com/1101844788
85,고기원칙 울산삼산점,4.5,"육류,고기",울산 남구 삼산중로 38 (우)44719,https://place.map.kakao.com/498904552
86,함양지리산흑돼지,4.9,"육류,고기",울산 남구 중앙로156번길 38 2층 (우)44693,https://place.map.kakao.com/21567797
87,일월의정원,4.2,한정식,울산 울주군 두동면 두동로 737-2 1층 (우)44916,https://place.map.kakao.com/1433090065
88,돼지상회,3.9,"육류,고기",울산 동구 방어진순환도로 621 (우)44068,https://place.map.kakao.com/21626342
89,경주영양숯불갈비 울산점,4.0,갈비,울산 남구 번영로246번길 2 (우)44696,https://place.map.kakao.com/17451493
90,홍익돈까스 울산삼산점,3.3,홍익돈까스,울산 남구 돋질로 419 (우)44711,https://place.map.kakao.com/27069578
91,대도식당 울산점,2.0,"육류,고기",울산 북구 진장17길 7 별관 1층 (우)44250,https://place.map.kakao.com/2039235910
92,스타벅스 울산도산사거리DT점,3.0,스타벅스,울산 남구 야음동 580,https://place.map.kakao.com/2111664474
93,스타벅스 울산호계DT점,3.9,스타벅스,울산 북구 산업로 1464 (우)44221,https://place.map.kakao.com/691760425
94,스타벅스 울산국가정원점,3.9,스타벅스,울산 중구 태화강국가정원길 205 (우)44456,https://place.map.kakao.com/244828917
95,해운대대게횟집,2.6,회,"울산 남구 돋질로171번길 3 1층,2층 (우)44687",https://place.map.kakao.com/191126553
96,찜마루,3.0,"해물,생선",울산 북구 명촌로 17 (우)44254,https://place.map.kakao.com/27308507
97,아비아채 하사정점 1920,4.0,양식,울산 북구 동해안로 831-52 (우)44235,https://place.map.kakao.com/518681801
98,풍경한식당,5.0,"불고기,두루치기",울산 울주군 상북면 배내로 1032 (우)44909,https://place.map.kakao.com/347635654
99,카페 히든베이,5.0,카페,울산 북구 동해안로 1414 (우)44233,https://place.map.kakao.com/1794807399
100,산다화,3.1,닭요리,울산 울주군 상북면 오리밭들길 13 (우)44952,https://place.map.kakao.com/1147969437
101,찜다해 울산본점,2.3,"해물,생선",울산 북구 명촌5길 2 1층 (우)44254,https://place.map.kakao.com/200655438
102,팔각정회센타,5.0,회,울산 북구 정자7길 22-3 (우)44233,https://place.map.kakao.com/15717974
103,오르토커피,4.9,커피전문점,울산 울주군 언양읍 내곡길 21 오르토커피 (우)44938,https://place.map.kakao.com/48112910
104,경주손칼국수,4.0,국수,울산 남구 월평로37번길 3 (우)44671,https://place.map.kakao.com/17079105
105,오복미역 울산삼산점,3.2,한정식,울산 남구 화합로 125 1층 (우)44720,https://place.map.kakao.com/27215264
106,구이대장,1.0,한식,울산 남구 신정로20번길 17 (우)44725,https://place.map.kakao.com/1352610408
107,도원,3.4,"불고기,두루치기",울산 동구 고늘로 6 (우)44056,https://place.map.kakao.com/21965320
108,보니타커피,3.5,카페,울산 동구 해수욕장10길 18 2층 (우)44057,https://place.map.kakao.com/598746461
109,조은사랑방,4.4,국수,울산 울주군 언양읍 구교동1길 15 (우)44943,https://place.map.kakao.com/984616546
110,한우연,5.0,"육류,고기","울산 남구 화합로 186-1 2, 3층 (우)44713",https://place.map.kakao.com/1190117358
111,언양불고기,3.0,"불고기,두루치기",울산 남구 왕생로86번길 5 (우)44703,https://place.map.kakao.com/27093098
