,p_id,0,1,2,3,4,5,6,7,8,9
0,107,1,1,2,0,1,0,0,13,2,3
0,107,0,0,0,0,0,0,0,1,0,0
0,107,0,0,0,0,0,0,0,0,0,0
0,107,0,0,0,0,0,0,0,1,0,0
0,107,0,0,0,0,0,0,0,0,0,2
0,107,1,0,1,0,0,0,1,0,0,0
0,107,0,0,0,0,0,0,0,0,0,0
0,107,0,0,0,0,0,1,0,1,0,0
0,107,1,0,0,0,0,0,0,2,0,1
0,107,1,0,1,0,0,0,0,2,0,0
0,107,0,0,0,0,0,0,0,1,0,0
0,107,0,0,1,0,0,0,2,0,0,1
0,107,1,0,0,0,0,0,1,4,0,0
0,107,0,0,0,0,0,0,0,1,0,0
0,107,0,0,0,0,0,0,0,1,0,0
0,107,1,0,0,0,0,0,0,1,0,0
0,107,1,1,0,0,0,0,0,6,0,2
0,107,0,0,0,0,0,0,0,1,0,1
0,107,0,0,0,0,0,0,0,0,0,0
0,107,0,0,0,0,0,0,0,1,0,1
0,107,0,0,0,0,0,0,0,1,0,0
0,107,0,0,0,0,0,0,1,4,0,0
0,107,0,0,0,0,0,0,0,2,0,0
0,107,0,0,0,0,0,0,0,2,0,0
0,107,0,0,0,0,1,0,0,2,0,0
0,107,0,0,0,0,0,0,0,0,0,0
0,107,0,0,0,0,0,0,0,0,0,0
0,107,0,0,0,0,0,0,0,1,0,0
0,107,0,0,0,0,0,0,0,4,0,0
0,107,1,0,0,0,0,0,0,2,0,0
0,107,0,0,0,0,0,0,0,3,0,0
0,107,0,0,0,1,0,0,0,5,0,0
0,107,0,0,1,1,1,0,1,5,0,2
0,107,0,0,0,0,0,0,0,1,0,0
0,107,0,0,0,0,0,0,0,3,0,0
0,107,0,0,0,0,0,0,0,6,0,0
0,107,1,1,0,0,0,0,0,5,0,2
0,107,0,0,0,0,0,0,0,0,0,0
0,107,1,0,0,0,0,0,1,2,0,0
0,107,0,0,0,0,1,0,0,0,0,1
0,107,0,0,0,0,0,0,1,7,0,0
0,107,0,0,0,0,0,1,0,0,0,0
0,107,0,0,0,0,0,0,1,8,0,3
0,107,0,0,0,0,0,0,2,1,0,0
0,107,3,0,0,0,0,0,0,3,0,0
0,107,0,1,0,0,1,0,1,4,0,0
0,107,0,0,0,0,0,0,1,2,0,1
0,107,1,0,1,1,0,0,0,5,0,3
0,107,0,0,0,0,0,0,0,0,0,0
0,107,0,0,0,0,0,0,0,0,0,0
0,107,1,0,0,0,0,0,0,0,0,2
0,107,0,0,0,0,0,0,0,0,0,0
0,107,0,0,0,0,0,0,1,1,0,1
0,107,0,0,0,0,0,0,0,0,0,0
0,107,0,0,1,0,0,0,1,0,0,1
0,107,1,0,0,0,0,0,0,3,1,0
0,107,0,0,0,0,0,0,0,2,0,0
0,107,0,0,0,0,0,0,1,2,0,0
0,107,0,2,0,1,0,1,0,8,1,2
0,107,1,1,1,0,0,0,0,0,0,2
0,107,0,0,0,0,0,0,0,1,0,0
0,107,0,0,0,0,0,0,0,0,0,0
0,107,0,0,0,0,1,0,0,2,0,0
0,107,0,0,0,0,0,0,0,2,0,0
0,107,0,0,0,0,0,0,0,1,0,0
0,107,1,0,2,1,0,0,2,10,2,5
0,107,0,0,0,0,0,1,0,0,1,0
0,107,1,0,0,1,0,0,0,2,0,0
0,107,0,0,0,0,0,0,0,1,0,0
0,107,1,0,0,0,0,0,2,6,0,3
