,Unnamed: 0,p_name,p_address,p_rating,p_category,p_tag,p_review,p_url
901,901,숨,울산 중구 중앙길 152,4.1,카페,"['#룸카페', '#보드게임카페', '#실내놀거리', '#실내데이트']",./kakao_reviews/울산 보드카페/숨.csv,https://place.map.kakao.com/15741984
903,903,카페다오,울산 동구 해수욕장10길 34,3.0,카페,"['#보드게임카페', '#오션뷰카페']",./kakao_reviews/울산 보드카페/카페다오.csv,https://place.map.kakao.com/26946785
904,904,그녀의커피잔,울산 중구 젊음의거리 77 3층,4.0,카페,"['#데이트코스', '#룸카페', '#보드게임카페', '#실내놀거리', '#제로페이']",./kakao_reviews/울산 보드카페/그녀의커피잔.csv,https://place.map.kakao.com/26421045
905,905,제이드마운틴,울산 남구 달삼로 46 4층 402호,0.0,카페,"['#울산가볼만한곳', '#울산맛집베스트', '#울산브런치', '#울산중구맛집', '#울산카페', '#로스팅전문', '#보드게임카페', '#제로페이']",./kakao_reviews/울산 보드카페/제이드마운틴.csv,https://place.map.kakao.com/1123546460
906,906,진다방,울산 남구 봉월로151번길 27 2층,5.0,카페,"['#감성카페', '#레트로풍', '#보드게임카페', '#실내놀거리', '#이색카페', '#제로페이']",./kakao_reviews/울산 보드카페/진다방.csv,https://place.map.kakao.com/970936560
909,909,셀프바리스타 옥동본점,울산 남구 문수로333번길 10-1 1층,5.0,카페,"['#24시간카페', '#로스팅전문', '#무인카페', '#보드게임카페', '#스터디카페', '#실내놀거리']",./kakao_reviews/울산 보드카페/셀프바리스타 옥동본점.csv,https://place.map.kakao.com/1011053610
910,910,숨,울산 중구 중앙길 152,4.1,카페,"['#보드게임카페', '#핸드드립전문점', '#제로페이']",./kakao_reviews/울산 보드카페/숨.csv,https://place.map.kakao.com/15741984
911,911,세븐스타코인노래연습장 산하동점,울산 북구 산하중앙2로 290 205호,2.0,코인노래방,태그 없음,./kakao_reviews/울산 코인노래방/세븐스타코인노래연습장 산하동점.csv,https://place.map.kakao.com/731249627
912,912,악똥동전노래연습장,울산 울주군 언양읍 헌양길 34,3.0,코인노래방,태그 없음,./kakao_reviews/울산 코인노래방/악똥동전노래연습장.csv,https://place.map.kakao.com/389470368
918,918,코인 스타디움노래연습장,울산 남구 대학로 96 지하1층,0.0,코인노래방,태그 없음,./kakao_reviews/울산 코인노래방/코인 스타디움노래연습장.csv,https://place.map.kakao.com/31301325
922,922,비트동전노래연습장,울산 울주군 온양읍 보곡2길 30-18,0.0,코인노래방,['#제로페이'],./kakao_reviews/울산 코인노래방/비트동전노래연습장.csv,https://place.map.kakao.com/1718138383
923,923,세븐스타코인노래연습장 울산대점,울산 남구 대학로84번길 5-3 지하1층,4.4,코인노래방,['#카카오페이'],./kakao_reviews/울산 코인노래방/세븐스타코인노래연습장 울산대점.csv,https://place.map.kakao.com/2136135155
924,924,또또동전노래,울산 동구 해수욕장길 5,3.0,코인노래방,태그 없음,./kakao_reviews/울산 코인노래방/또또동전노래.csv,https://place.map.kakao.com/1770104214
926,926,비트코인노래연습장,울산 북구 화산중앙로 94-5 3층,5.0,코인노래방,['#카카오페이'],./kakao_reviews/울산 코인노래방/비트코인노래연습장.csv,https://place.map.kakao.com/367183728
929,929,차차동전노래연습장 병영점,울산 중구 번영로 584 2층,5.0,코인노래방,태그 없음,./kakao_reviews/울산 코인노래방/차차동전노래연습장 병영점.csv,https://place.map.kakao.com/1201476360
930,930,노래야노래야 코인노래연습장,울산 남구 중앙로128번길 63 2층,3.0,코인노래방,태그 없음,./kakao_reviews/울산 코인노래방/노래야노래야 코인노래연습장.csv,https://place.map.kakao.com/181694299
933,933,텐코인 노래연습장 울산언양점,울산 울주군 언양읍 헌양길 50 2층,0.0,코인노래방,태그 없음,./kakao_reviews/울산 코인노래방/텐코인 노래연습장 울산언양점.csv,https://place.map.kakao.com/454472557
934,934,또또동전노래연습장 태화점,울산 중구 화진1길 3 2층,3.0,코인노래방,['#제로페이'],./kakao_reviews/울산 코인노래방/또또동전노래연습장 태화점.csv,https://place.map.kakao.com/1411420767
936,936,케이팝동전노래연습장,울산 북구 가재길 24,0.0,코인노래방,태그 없음,./kakao_reviews/울산 코인노래방/케이팝동전노래연습장.csv,https://place.map.kakao.com/1031657042
940,940,탑코인동전노래연습장,울산 북구 매곡1로 4-18 2층,5.0,코인노래방,['#제로페이'],./kakao_reviews/울산 코인노래방/탑코인동전노래연습장.csv,https://place.map.kakao.com/227956164
942,942,세븐스타코인노래연습장,울산 남구 월평로 58 3층,5.0,코인노래방,태그 없음,./kakao_reviews/울산 코인노래방/세븐스타코인노래연습장.csv,https://place.map.kakao.com/127850370
945,945,케이팝 동전노래연습장,울산 남구 삼산중로74번길 22,2.3,코인노래방,태그 없음,./kakao_reviews/울산 코인노래방/케이팝 동전노래연습장.csv,https://place.map.kakao.com/1959962996
948,948,아젤란리조트,울산 울주군 상북면 덕현남천길 7,4.0,"콘도,리조트","['#무료야영장', '#물놀이', '#야영장', '#오토캠핑', '#카라반', '#캠핑장']",./kakao_reviews/울산 숙소/아젤란리조트.csv,https://place.map.kakao.com/19880023
949,949,SM리조트,울산 울주군 상북면 알프스온천1길 123,5.0,"콘도,리조트","['#MT펜션', '#물놀이', '#바베큐장', '#워크샵']",./kakao_reviews/울산 숙소/SM리조트.csv,https://place.map.kakao.com/13144410
950,950,SM리조트,울산 울주군 상북면 알프스온천1길 123,5.0,"콘도,리조트","['#물놀이', '#실외수영장', '#온천호텔', '#제로페이']",./kakao_reviews/울산 숙소/SM리조트.csv,https://place.map.kakao.com/13144410
951,951,아젤란리조트,울산 울주군 상북면 덕현남천길 7,4.0,"콘도,리조트","['#글램핑', '#단풍명소', '#물놀이', '#산책로', '#세미나실', '#실외수영장', '#야외결혼식', '#야외테라스', '#연회장', '#온천호텔', '#워크샵', '#잔디마당', '#조식서비스', '#족구장', '#제로페이']",./kakao_reviews/울산 숙소/아젤란리조트.csv,https://place.map.kakao.com/19880023
957,957,공업탑,울산 남구 신정동 720-4,4.2,"탑,비석",['#나들이'],./kakao_reviews/울산 명소/공업탑.csv,https://place.map.kakao.com/17110902
958,958,울주망해사지승탑,울산 울주군 청량읍 망해2길 102,5.0,"탑,비석",태그 없음,./kakao_reviews/울산 명소/울주망해사지승탑.csv,https://place.map.kakao.com/10339603
965,965,울산디자인거리,울산 남구 삼산동 1527-1,5.0,테마거리,태그 없음,./kakao_reviews/울산 명소/울산디자인거리.csv,https://place.map.kakao.com/12264020
968,968,울산꽃리단길,울산 동구 방어동 1177,2.3,테마거리,태그 없음,./kakao_reviews/울산 명소/울산꽃리단길.csv,https://place.map.kakao.com/2032077983
969,969,학성동가구전문거리,울산 중구 학성동 207-4,0.0,테마거리,태그 없음,./kakao_reviews/울산 명소/학성동가구전문거리.csv,https://place.map.kakao.com/18097012
971,971,바보사거리,울산 남구 대학로94번길 8,4.0,테마거리,태그 없음,./kakao_reviews/울산 명소/바보사거리.csv,https://place.map.kakao.com/19292107
973,973,시계탑거리,울산 중구 옥교동 275-15,4.0,테마거리,태그 없음,./kakao_reviews/울산 명소/시계탑거리.csv,https://place.map.kakao.com/8440943
974,974,이스케이프탑 울산점,울산 남구 삼산중로74번길 10 5층,4.5,테마카페,"['#데이트코스', '#방탈출카페', '#보드게임카페', '#실내놀거리', '#실내데이트', '#이색데이트', '#이색카페', '#친목모임', '#제로페이']",./kakao_reviews/울산 보드카페/이스케이프탑 울산점.csv,https://place.map.kakao.com/284779798
978,978,제트방탈출카페,울산 중구 젊음의거리 56 2층,1.0,테마카페,"['#데이트코스', '#방탈출카페', '#실내놀거리', '#실내데이트']",./kakao_reviews/울산 방탈출/제트방탈출카페.csv,https://place.map.kakao.com/1713311920
979,979,코지누크,울산 중구 학성로 52-1 1층,5.0,테마카페,"['#데이트코스', '#보드게임카페', '#실내놀거리', '#플라워카페', '#제로페이']",./kakao_reviews/울산 보드카페/코지누크.csv,https://place.map.kakao.com/235406043
980,980,트랩코리아 삼산점,울산 남구 삼산중로74번길 6 3층,2.6,테마카페,"['#데이트코스', '#방탈출카페', '#보드게임카페', '#실내놀거리', '#이색카페']",./kakao_reviews/울산 보드카페/트랩코리아 삼산점.csv,https://place.map.kakao.com/27575809
982,982,트랩코리아 삼산점,울산 남구 삼산중로74번길 6 3층,2.6,테마카페,"['#데이트코스', '#방탈출카페', '#보드게임카페', '#실내놀거리', '#이색카페']",./kakao_reviews/울산 방탈출/트랩코리아 삼산점.csv,https://place.map.kakao.com/27575809
983,983,이스케이프탑 울산점,울산 남구 삼산중로74번길 10 5층,4.5,테마카페,"['#데이트코스', '#방탈출카페', '#보드게임카페', '#실내놀거리', '#실내데이트', '#이색데이트', '#이색카페', '#친목모임', '#제로페이']",./kakao_reviews/울산 방탈출/이스케이프탑 울산점.csv,https://place.map.kakao.com/284779798
985,985,울산대공원,울산 남구 대공원로 94,4.3,테마파크,"['#단풍명소', '#아이와놀자', '#튤립', '#핑크뮬리명소']",./kakao_reviews/울산 명소/울산대공원.csv,https://place.map.kakao.com/8030988
988,988,대왕별아이누리,울산 동구 등대로 100,4.5,테마파크,태그 없음,./kakao_reviews/울산 명소/대왕별아이누리.csv,https://place.map.kakao.com/1878241162
990,990,롯데호텔 울산,울산 남구 삼산로 282,4.4,특급호텔,"['#2인실', '#곤돌라체험', '#사우나', '#수영장', '#어메니티제공', '#온돌룸', '#조식서비스', '#호캉스']",./kakao_reviews/울산 숙소/롯데호텔 울산.csv,https://place.map.kakao.com/8352252
991,991,호텔현대바이라한 울산,울산 동구 방어진순환도로 875,3.0,특급호텔,"['#2인실', '#비즈니스호텔', '#사우나', '#실외수영장', '#어메니티제공', '#조식서비스', '#호캉스']",./kakao_reviews/울산 숙소/호텔현대바이라한 울산.csv,https://place.map.kakao.com/8624277
993,993,선뷰펜션,울산 울주군 서생면 대송길 7-42,5.0,펜션,['#제로페이'],./kakao_reviews/울산 숙소/선뷰펜션.csv,https://place.map.kakao.com/21932376
994,994,배내골까꿍펜션,울산 울주군 상북면 배내로 1106,4.0,펜션,태그 없음,./kakao_reviews/울산 숙소/배내골까꿍펜션.csv,https://place.map.kakao.com/13727193
